cluster_assign,cluster_mean,cluster_var,long_alpha,long_beta,short_alpha,short_beta,true_decay,true_galaxy
5,0.4852941176470588,0.12521626297577854,13084.0,1588.5,3046.0,518.5,0.47948323857690145,1
1,0.3301524678781393,0.03060654903393,13236.0,1611.0,9239.0,945.5,0.4808236204965121,1
1,0.3353165752663298,0.030246358097183235,13382.0,1633.5,9239.0,945.5,0.48051981320906023,1
1,0.3386288502233394,0.029535099037189,13528.0,1656.0,9239.0,945.5,0.47817946729527677,1
1,0.337188926636242,0.029212284379157048,13667.0,1678.5,151.0,23.5,0.4761253865419301,1
1,0.3423014970062289,0.02900351349388163,13825.0,1701.0,151.0,23.5,0.4767532409416657,1
1,0.3469094653238178,0.028714248571410018,13975.0,1723.5,151.0,23.5,0.47710304402124154,1
1,0.352599239903923,0.02881728790240462,14132.0,1746.0,151.0,23.5,0.4791782123358792,1
1,0.3570352989365474,0.028580915388993326,14285.0,1768.5,151.0,23.5,0.4799401729375965,1
4,0.48627962623043486,0.08351620771027536,14431.0,1791.0,304.0,46.0,0.479569339625593,1
2,0.8077816069156679,0.005840223973585077,14781.0,1824.0,4622.0,766.0,0.8083877950833102,2
