sub_num,block,galaxy,diff_mean
38.0,4.0,0,0.875
38.0,4.0,1,0.72
38.0,4.0,2,-0.6086956521739131
0.0,5.0,0,1.0625
0.0,5.0,1,0.76
0.0,5.0,2,-0.6956521739130435
1.0,5.0,0,1.0625
1.0,5.0,1,0.68
1.0,5.0,2,-0.9166666666666666
2.0,5.0,0,1.0
2.0,5.0,1,0.56
2.0,5.0,2,-1.08
3.0,5.0,0,0.9411764705882353
3.0,5.0,1,0.68
3.0,5.0,2,-1.0416666666666667
4.0,5.0,0,1.0625
4.0,5.0,1,0.68
4.0,5.0,2,-0.782608695652174
5.0,5.0,0,1.0625
5.0,5.0,1,0.6
5.0,5.0,2,-0.875
6.0,5.0,0,0.9411764705882353
6.0,5.0,1,0.6
6.0,5.0,2,-1.2083333333333333
7.0,5.0,0,1.0625
7.0,5.0,1,0.52
7.0,5.0,2,-1.24
8.0,5.0,0,-0.21052631578947367
8.0,5.0,1,-0.7037037037037037
8.0,5.0,2,-4.9393939393939394
9.0,5.0,0,1.0625
9.0,5.0,1,0.56
9.0,5.0,2,-0.7391304347826086
10.0,5.0,0,1.0
10.0,5.0,1,0.6
10.0,5.0,2,-0.782608695652174
11.0,5.0,0,1.0
11.0,5.0,1,0.64
11.0,5.0,2,-1.2
12.0,5.0,0,1.0625
12.0,5.0,1,0.5384615384615384
12.0,5.0,2,-1.16
13.0,5.0,0,1.0
13.0,5.0,1,0.68
13.0,5.0,2,-1.16
14.0,5.0,0,1.0625
14.0,5.0,1,0.64
14.0,5.0,2,-0.8333333333333334
15.0,5.0,0,1.0
15.0,5.0,1,0.52
15.0,5.0,2,-0.9565217391304348
16.0,5.0,0,1.0
16.0,5.0,1,0.6
16.0,5.0,2,-1.125
17.0,5.0,0,1.0625
17.0,5.0,1,0.72
17.0,5.0,2,-0.9583333333333334
18.0,5.0,0,1.125
18.0,5.0,1,0.68
18.0,5.0,2,-0.6086956521739131
19.0,5.0,0,1.0
19.0,5.0,1,0.38461538461538464
19.0,5.0,2,-1.16
20.0,5.0,0,1.0625
20.0,5.0,1,0.76
20.0,5.0,2,-0.9130434782608695
22.0,5.0,0,1.0
22.0,5.0,1,0.5
22.0,5.0,2,-1.0434782608695652
23.0,5.0,0,1.0625
23.0,5.0,1,0.6153846153846154
23.0,5.0,2,-0.9583333333333334
25.0,5.0,0,1.0
25.0,5.0,1,0.64
25.0,5.0,2,-1.12
26.0,5.0,0,1.0625
26.0,5.0,1,0.4230769230769231
26.0,5.0,2,-0.8333333333333334
27.0,5.0,0,1.0
27.0,5.0,1,0.56
27.0,5.0,2,-1.0833333333333333
28.0,5.0,0,1.0588235294117647
28.0,5.0,1,0.64
28.0,5.0,2,-1.25
29.0,5.0,0,1.0
29.0,5.0,1,0.6
29.0,5.0,2,-1.0833333333333333
30.0,5.0,0,1.0625
30.0,5.0,1,0.68
30.0,5.0,2,-0.9583333333333334
31.0,5.0,0,1.0588235294117647
31.0,5.0,1,0.64
31.0,5.0,2,-0.8260869565217391
32.0,5.0,0,1.0
32.0,5.0,1,0.72
32.0,5.0,2,-1.0
33.0,5.0,0,1.0588235294117647
33.0,5.0,1,0.68
33.0,5.0,2,-1.2
34.0,5.0,0,1.0
34.0,5.0,1,0.5
34.0,5.0,2,-1.0
35.0,5.0,0,0.9375
35.0,5.0,1,0.52
35.0,5.0,2,-1.44
36.0,5.0,0,1.0588235294117647
36.0,5.0,1,0.4230769230769231
36.0,5.0,2,-1.36
37.0,5.0,0,1.0625
37.0,5.0,1,0.76
37.0,5.0,2,-0.6956521739130435
38.0,5.0,0,0.875
38.0,5.0,1,0.52
38.0,5.0,2,-0.9166666666666666
