sub_num,block,galaxy,diff_mean
35.0,1.0,2,-1.24
36.0,1.0,0,0.9333333333333333
36.0,1.0,1,0.52
36.0,1.0,2,1.65
37.0,1.0,0,1.6363636363636365
37.0,1.0,1,0.6923076923076923
37.0,1.0,2,3.0555555555555554
38.0,1.0,0,0.9333333333333333
38.0,1.0,1,0.46153846153846156
38.0,1.0,2,0.7727272727272727
0.0,2.0,0,1.2307692307692308
0.0,2.0,1,0.64
0.0,2.0,2,2.1578947368421053
1.0,2.0,0,1.0714285714285714
1.0,2.0,1,0.5769230769230769
1.0,2.0,2,1.5
2.0,2.0,0,1.0
2.0,2.0,1,0.64
2.0,2.0,2,2.25
3.0,2.0,0,1.0
3.0,2.0,1,0.5
3.0,2.0,2,1.25
4.0,2.0,0,1.0714285714285714
4.0,2.0,1,0.19230769230769232
4.0,2.0,2,1.0476190476190477
5.0,2.0,0,1.0
5.0,2.0,1,0.038461538461538464
5.0,2.0,2,-0.32
6.0,2.0,0,0.9444444444444444
6.0,2.0,1,-0.2962962962962963
6.0,2.0,2,-2.857142857142857
7.0,2.0,0,1.0
7.0,2.0,1,-0.3333333333333333
7.0,2.0,2,-2.3333333333333335
8.0,2.0,0,1.0
8.0,2.0,1,-0.07692307692307693
8.0,2.0,2,-0.6
9.0,2.0,0,1.0
9.0,2.0,1,0.34615384615384615
9.0,2.0,2,1.85
10.0,2.0,0,1.0
10.0,2.0,1,0.3076923076923077
10.0,2.0,2,1.9
11.0,2.0,0,1.0
11.0,2.0,1,0.0
11.0,2.0,2,0.20833333333333334
12.0,2.0,0,1.0
12.0,2.0,1,0.46153846153846156
12.0,2.0,2,1.85
13.0,2.0,0,1.0714285714285714
13.0,2.0,1,0.4230769230769231
13.0,2.0,2,2.3684210526315788
14.0,2.0,0,1.0
14.0,2.0,1,0.0
14.0,2.0,2,-0.36
15.0,2.0,0,1.0
15.0,2.0,1,0.2692307692307692
15.0,2.0,2,0.2727272727272727
16.0,2.0,0,1.3333333333333333
16.0,2.0,1,0.68
16.0,2.0,2,2.6315789473684212
17.0,2.0,0,0.5789473684210527
17.0,2.0,1,-0.5
17.0,2.0,2,-4.0
18.0,2.0,0,1.0714285714285714
18.0,2.0,1,0.64
18.0,2.0,2,2.210526315789474
19.0,2.0,0,1.0
19.0,2.0,1,-0.15384615384615385
19.0,2.0,2,-2.2222222222222223
20.0,2.0,0,1.3636363636363635
20.0,2.0,1,0.5384615384615384
20.0,2.0,2,2.8947368421052633
22.0,2.0,0,1.0
22.0,2.0,1,0.46153846153846156
22.0,2.0,2,0.8181818181818182
23.0,2.0,0,1.0
23.0,2.0,1,0.038461538461538464
23.0,2.0,2,-0.24
